"State Abbreviation","State Name","Reporting Period","State Expanded Medicaid","Preliminary or Updated","Final Report","New Applications Submitted to Medicaid and CHIP Agencies","New Applications Submitted to Medicaid and CHIP Agencies - footnotes","Applications for Financial Assistance Submitted to the State Based Marketplace","Applications for Financial Assistance Submitted to the State Based Marketplace - footnotes","Total Applications for Financial Assistance Submitted at State Level","Total Applications for Financial Assistance Submitted at State Level - footnotes","Individuals Determined Eligible for Medicaid at Application","Individuals Determined Eligible for Medicaid at Application - footnotes","Individuals Determined Eligible for CHIP at Application","Individuals Determined Eligible for CHIP at Application - footnotes","Total Medicaid and CHIP Determinations","Total Medicaid and CHIP Determinations - footnotes","Medicaid and CHIP Child Enrollment","Medicaid and CHIP Child Enrollment - footnotes","Total Medicaid and CHIP Enrollment","Total Medicaid and CHIP Enrollment - footnotes","Total Medicaid Enrollment","Total Medicaid Enrollment - footnotes","Total CHIP Enrollment","Total CHIP Enrollment - footnotes","Total Adult Medicaid Enrollment","Total Adult Medicaid Enrollment - footnotes","Total Medicaid and CHIP Determinations Processed in Less than 24 Hours","Total Medicaid and CHIP Determinations Processed in Less than 24 Hours - footnotes","Total Medicaid and CHIP Determinations Processed Between 24 Hours and 7 Days","Total Medicaid and CHIP Determinations Processed Between 24 Hours and 7 Days - footnotes","Total Medicaid and CHIP Determinations Processed Between 8 Days and 30 Days","Total Medicaid and CHIP Determinations Processed Between 8 Days and 30 Days - footnotes","Total Medicaid and CHIP Determinations Processed between 31 days and 45 days","Total Medicaid and CHIP Determinations Processed between 31 days and 45 days - footnotes","Total Medicaid and CHIP Determinations Processed in More than 45 Days","Total Medicaid and CHIP Determinations Processed in More than 45 Days - footnotes","Total Call Center Volume (Number of Calls)","Total Call Center Volume (Number of Calls) - footnotes","Average Call Center Wait Time (Minutes)","Average Call Center Wait Time (Minutes) - footnotes","Average Call Center Abandonment Rate","Average Call Center Abandonment Rate - footnotes"
AK,Alaska,201710,Y,U,Y,3574,,0,,3574,,2961,,0,,2961,,92122,,200627,,187664,,12963,,,,,,,,,,,,,,,,,,,
AK,Alaska,201711,Y,P,N,4320,,0,,4320,,3337,,0,,3337,,91254,,198880,,186078,,12802,,,,,,,,,,,,,,,,,,,
AK,Alaska,201711,Y,U,Y,4320,,0,,4320,,3337,,0,,3337,,92203,,201672,,188630,,13042,,,,,,,,,,,,,,,,,,,
AK,Alaska,201712,Y,P,N,3854,,0,,3854,,3825,,0,,3825,,91516,,200185,,187272,,12913,,,,,,,,,,,,,,,,,,,
AK,Alaska,201712,Y,U,Y,3446,,0,,3446,,3825,,0,,3825,,91360,,200369,,187450,,12919,,,,,,,,,,,,,,,,,,,
AK,Alaska,201801,Y,P,N,3735,,0,,3735,,2838,,0,,2838,,92260,,202912,,189696,,13216,,,,,,,,,,,,,,,,,,,
AK,Alaska,201801,Y,U,Y,3735,,0,,3735,,2838,,0,,2838,,92495,,203654,,190513,,13141,,,,,,,,,,,,,,,,,,,
AK,Alaska,201802,Y,P,N,3052,,0,,3052,,2334,,0,,2334,,92415,,203672,,190509,,13163,,,,261,,855,,719,,188,,976,,,,,,,
AK,Alaska,201802,Y,U,Y,3052,,0,,3052,,2334,,0,,2334,,92649,,204311,,191133,,13178,,,,261,,855,,719,,188,,976,,,,,,,
AK,Alaska,201803,Y,P,N,3373,"Includes Renewals and/or Redeterminations",0,,3373,"Includes Renewals and/or Redeterminations",2584,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2584,"Includes Renewals and/or Redeterminations",93019,,205234,,191959,,13275,,,,409,,843,,864,,192,,1086,,,,,,,
AK,Alaska,201803,Y,U,Y,3373,"Includes Renewals and/or Redeterminations",0,,3373,"Includes Renewals and/or Redeterminations",2584,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2584,"Includes Renewals and/or Redeterminations",93203,,205761,,192481,,13280,,,,409,,843,,864,,192,,1086,,,,,,,
AK,Alaska,201804,Y,P,N,3046,"Includes Renewals and/or Redeterminations",0,,3046,"Includes Renewals and/or Redeterminations",2315,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2315,"Includes Renewals and/or Redeterminations",93511,,206808,,193515,,13293,,,,285,,771,,771,,174,,1178,,,,,,,
AK,Alaska,201804,Y,U,Y,3352,"Includes Renewals and/or Redeterminations",0,,3352,"Includes Renewals and/or Redeterminations",2315,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2315,"Includes Renewals and/or Redeterminations",93680,,207337,,194039,,13298,,,,285,,771,,771,,174,,1178,,,,,,,
AK,Alaska,201805,Y,P,N,3549,"Includes Renewals and/or Redeterminations",0,,3549,"Includes Renewals and/or Redeterminations",2312,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2312,"Includes Renewals and/or Redeterminations",93834,,207765,,194362,,13403,,,,,,,,,,,,,,,,,,,
AK,Alaska,201805,Y,U,Y,3549,"Includes Renewals and/or Redeterminations",0,,3549,"Includes Renewals and/or Redeterminations",2312,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2312,"Includes Renewals and/or Redeterminations",93840,,207771,,194367,,13404,,,,,,,,,,,,,,,,,,,
AK,Alaska,201806,Y,P,N,3239,"Includes Renewals and/or Redeterminations",0,,3239,"Includes Renewals and/or Redeterminations",2245,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2245,"Includes Renewals and/or Redeterminations",93416,,206727,,193286,,13441,,,,,,,,,,,,,,,,,,,
AK,Alaska,201806,Y,U,Y,3239,"Includes Renewals and/or Redeterminations",0,,3239,"Includes Renewals and/or Redeterminations",2245,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2245,"Includes Renewals and/or Redeterminations",95006,,211054,,197325,,13729,,,,,,,,,,,,,,,,,,,
AK,Alaska,201807,Y,P,N,2911,"Includes Renewals and/or Redeterminations",0,,2911,"Includes Renewals and/or Redeterminations",2232,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2232,"Includes Renewals and/or Redeterminations",94270,,209491,,195832,,13659,,,,,,,,,,,,,,,,,,,
AK,Alaska,201807,Y,U,Y,2911,"Includes Renewals and/or Redeterminations",0,,2911,"Includes Renewals and/or Redeterminations",2232,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2232,"Includes Renewals and/or Redeterminations",95035,,211609,,197806,,13803,,,,,,,,,,,,,,,,,,,
AK,Alaska,201808,Y,P,N,3216,"Includes Renewals and/or Redeterminations",0,,3216,"Includes Renewals and/or Redeterminations",2409,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2409,"Includes Renewals and/or Redeterminations",94422,,210217,,196460,,13757,,,,,,,,,,,,,,,,,,,
AK,Alaska,201808,Y,U,Y,3216,"Includes Renewals and/or Redeterminations",0,,3216,"Includes Renewals and/or Redeterminations",2409,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2409,"Includes Renewals and/or Redeterminations",95080,,211945,,197981,,13964,,,,,,,,,,,,,,,,,,,
AK,Alaska,201809,Y,P,N,2806,"Includes Renewals and/or Redeterminations",0,,2806,"Includes Renewals and/or Redeterminations",2126,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2126,"Includes Renewals and/or Redeterminations",93908,,208867,,194952,,13915,,,,,,,,,,,,,,,,,,,
AK,Alaska,201809,Y,U,Y,2806,"Includes Renewals and/or Redeterminations",0,,2806,"Includes Renewals and/or Redeterminations",2126,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2126,"Includes Renewals and/or Redeterminations",94323,,210368,,196445,,13923,,,,,,,,,,,,,,,,,,,
AK,Alaska,201810,Y,P,N,3797,"Includes Renewals and/or Redeterminations",0,,3797,"Includes Renewals and/or Redeterminations",2883,"Includes Renewals and/or Redeterminations; Includes CHIP",143,,3026,"Includes Renewals and/or Redeterminations",94422,,210276,,195891,,14385,,,,,,,,,,,,,,,,,,,
AK,Alaska,201810,Y,U,Y,3797,"Includes Renewals and/or Redeterminations",0,,3797,"Includes Renewals and/or Redeterminations",2883,"Includes Renewals and/or Redeterminations; Includes CHIP",143,,3026,"Includes Renewals and/or Redeterminations",94829,,211746,,197355,,14391,,,,,,,,,,,,,,,,,,,
AK,Alaska,201811,Y,P,N,3552,"Includes Renewals and/or Redeterminations",0,,3552,"Includes Renewals and/or Redeterminations",3396,"Includes Renewals and/or Redeterminations; Includes CHIP",218,,3614,"Includes Renewals and/or Redeterminations",94539,,211386,,196699,,14687,,,,,,,,,,,,,,,,,,,
AK,Alaska,201811,Y,U,Y,3685,"Includes Renewals and/or Redeterminations",0,,3685,"Includes Renewals and/or Redeterminations",3396,"Includes Renewals and/or Redeterminations; Includes CHIP",218,,3614,"Includes Renewals and/or Redeterminations",95187,,213702,,198867,,14835,,,,,,,,,,,,,,,,,,,
AK,Alaska,201812,Y,P,N,3012,"Includes Renewals and/or Redeterminations",0,,3012,"Includes Renewals and/or Redeterminations",2798,"Includes Renewals and/or Redeterminations; Includes CHIP",130,,2928,"Includes Renewals and/or Redeterminations",95187,,213702,,198867,,14835,,,,,,,,,,,,,,,,,,,
AK,Alaska,201812,Y,U,Y,3205,"Includes Renewals and/or Redeterminations",0,,3205,"Includes Renewals and/or Redeterminations",2798,"Includes Renewals and/or Redeterminations; Includes CHIP",130,,2928,"Includes Renewals and/or Redeterminations",94469,,211912,,197143,,14769,,,,,,,,,,,,,,,,,,,
AK,Alaska,201901,Y,P,N,3472,"Includes Renewals and/or Redeterminations",0,,3472,"Includes Renewals and/or Redeterminations",3156,"Includes Renewals and/or Redeterminations; Includes CHIP",158,,3314,"Includes Renewals and/or Redeterminations",95259,,214541,,199656,,14885,,,,,,,,,,,,,,,,,,,
AK,Alaska,201901,Y,U,Y,3032,"Includes Renewals and/or Redeterminations",0,,3032,"Includes Renewals and/or Redeterminations",3156,"Includes Renewals and/or Redeterminations; Includes CHIP",158,,3314,"Includes Renewals and/or Redeterminations",95796,,216175,,201038,,15137,,,,,,,,,,,,,,,,,,,
AK,Alaska,201902,Y,P,N,3724,"Includes Renewals and/or Redeterminations",0,,3724,"Includes Renewals and/or Redeterminations",3084,"Includes Renewals and/or Redeterminations; Includes CHIP",173,,3257,"Includes Renewals and/or Redeterminations",94924,,213493,,198519,,14974,,,,492,,833,,699,,281,,3613,,,,,,,
AK,Alaska,201902,Y,U,Y,3865,"Includes Renewals and/or Redeterminations",0,,3865,"Includes Renewals and/or Redeterminations",3084,"Includes Renewals and/or Redeterminations; Includes CHIP",173,,3257,"Includes Renewals and/or Redeterminations",96172,,217468,,202090,,15378,,,,492,,833,,699,,281,,3613,,,,,,,
AK,Alaska,201903,Y,P,N,3588,"Includes Renewals and/or Redeterminations",0,,3588,"Includes Renewals and/or Redeterminations",3363,"Includes Renewals and/or Redeterminations; Includes CHIP",271,,3634,"Includes Renewals and/or Redeterminations",95745,,216168,,200790,,15378,,,,586,,835,,878,,332,,5572,,,,,,,
AK,Alaska,201903,Y,U,Y,3588,"Includes Renewals and/or Redeterminations",0,,3588,"Includes Renewals and/or Redeterminations",3363,"Includes Renewals and/or Redeterminations; Includes CHIP",271,,3634,"Includes Renewals and/or Redeterminations",96256,,217793,,202397,,15396,,,,586,,835,,878,,332,,5572,,,,,,,
AK,Alaska,201904,Y,P,N,3368,"Includes Renewals and/or Redeterminations",0,,3368,"Includes Renewals and/or Redeterminations",3053,"Includes Renewals and/or Redeterminations; Includes CHIP",202,,3255,"Includes Renewals and/or Redeterminations",96183,,217678,,202234,,15444,,,,535,,818,,1064,,343,,3829,,,,,,,
AK,Alaska,201904,Y,U,Y,3368,"Includes Renewals and/or Redeterminations",0,,3368,"Includes Renewals and/or Redeterminations",3053,"Includes Renewals and/or Redeterminations; Includes CHIP",202,,3255,"Includes Renewals and/or Redeterminations",96593,,218972,,203524,,15448,,,,535,,818,,1064,,343,,3829,,,,,,,
AK,Alaska,201905,Y,P,N,3107,"Includes Renewals and/or Redeterminations",0,,3107,"Includes Renewals and/or Redeterminations",2675,"Includes Renewals and/or Redeterminations; Includes CHIP",113,,2788,"Includes Renewals and/or Redeterminations",96506,,218680,,203115,,15565,,,,,,,,,,,,,,,,,,,
AK,Alaska,201905,Y,U,Y,3107,"Includes Renewals and/or Redeterminations",0,,3107,"Includes Renewals and/or Redeterminations",2675,"Includes Renewals and/or Redeterminations; Includes CHIP",113,,2788,"Includes Renewals and/or Redeterminations",97003,,220384,,204803,,15581,,,,,,,,,,,,,,,,,,,
AK,Alaska,201906,Y,P,N,3108,"Includes Renewals and/or Redeterminations",0,,3108,"Includes Renewals and/or Redeterminations",2400,"Includes Renewals and/or Redeterminations; Includes CHIP",99,,2499,"Includes Renewals and/or Redeterminations",96953,,220341,,204820,,15521,,,,,,,,,,,,,,,,,,,
AK,Alaska,201906,Y,U,Y,3108,"Includes Renewals and/or Redeterminations",0,,3108,"Includes Renewals and/or Redeterminations",2400,"Includes Renewals and/or Redeterminations; Includes CHIP",99,,2499,"Includes Renewals and/or Redeterminations",97672,,221746,,206033,,15713,,,,,,,,,,,,,,,,,,,
AK,Alaska,201907,Y,P,N,3147,"Includes Renewals and/or Redeterminations",0,,3147,"Includes Renewals and/or Redeterminations",2693,"Includes Renewals and/or Redeterminations; Includes CHIP",157,,2850,"Includes Renewals and/or Redeterminations",96772,,220043,,204317,,15726,,,,,,,,,,,,,,,,,,,
AK,Alaska,201907,Y,U,Y,3147,"Includes Renewals and/or Redeterminations",0,,3147,"Includes Renewals and/or Redeterminations",2693,"Includes Renewals and/or Redeterminations; Includes CHIP",157,,2850,"Includes Renewals and/or Redeterminations",97913,,223117,,207174,,15943,,,,,,,,,,,,,,,,,,,
AK,Alaska,201908,Y,P,N,3183,"Includes Renewals and/or Redeterminations",0,,3183,"Includes Renewals and/or Redeterminations",2820,"Includes Renewals and/or Redeterminations; Includes CHIP",134,,2954,"Includes Renewals and/or Redeterminations",97069,,220700,,204782,,15918,,,,,,,,,,,,,,,,,,,
AK,Alaska,201908,Y,U,Y,3183,"Includes Renewals and/or Redeterminations",0,,3183,"Includes Renewals and/or Redeterminations",2820,"Includes Renewals and/or Redeterminations; Includes CHIP",134,,2954,"Includes Renewals and/or Redeterminations",97472,,221946,,206020,,15926,,,,,,,,,,,,,,,,,,,
AK,Alaska,201909,Y,P,N,2955,"Includes Renewals and/or Redeterminations",0,,2955,"Includes Renewals and/or Redeterminations",2197,"Includes Renewals and/or Redeterminations; Includes CHIP",131,,2328,"Includes Renewals and/or Redeterminations",97040,,220340,,204233,,16107,,,,,,,,,,,,,,,,,,,
AK,Alaska,201909,Y,U,Y,2955,"Includes Renewals and/or Redeterminations",0,,2955,"Includes Renewals and/or Redeterminations",2197,"Includes Renewals and/or Redeterminations; Includes CHIP",131,,2328,"Includes Renewals and/or Redeterminations",97402,,221587,,205472,,16115,,,,,,,,,,,,,,,,,,,
AK,Alaska,201910,Y,P,N,3274,"Includes Renewals and/or Redeterminations",0,,3274,"Includes Renewals and/or Redeterminations",2314,"Includes Renewals and/or Redeterminations; Includes CHIP",137,,2451,"Includes Renewals and/or Redeterminations",97187,,220690,,204348,,16342,,,,,,,,,,,,,,,,,,,
AK,Alaska,201910,Y,U,Y,3274,"Includes Renewals and/or Redeterminations",0,,3274,"Includes Renewals and/or Redeterminations",2314,"Includes Renewals and/or Redeterminations; Includes CHIP",137,,2451,"Includes Renewals and/or Redeterminations",97434,,221675,,205320,,16355,,,,,,,,,,,,,,,,,,,
AK,Alaska,201911,Y,P,N,2936,"Includes Renewals and/or Redeterminations",0,,2936,"Includes Renewals and/or Redeterminations",2601,"Includes Renewals and/or Redeterminations; Includes CHIP",190,,2791,"Includes Renewals and/or Redeterminations",97338,,221152,,204574,,16578,,,,,,,,,,,,,,,,,,,
AK,Alaska,201911,Y,U,Y,2936,"Includes Renewals and/or Redeterminations",0,,2936,"Includes Renewals and/or Redeterminations",2601,"Includes Renewals and/or Redeterminations; Includes CHIP",190,,2791,"Includes Renewals and/or Redeterminations",97737,,222498,,205909,,16589,,,,,,,,,,,,,,,,,,,
AK,Alaska,201912,Y,P,N,3283,"Includes Renewals and/or Redeterminations",0,,3283,"Includes Renewals and/or Redeterminations",2925,"Includes Renewals and/or Redeterminations; Includes CHIP",175,,3100,"Includes Renewals and/or Redeterminations",97527,,222156,,205527,,16629,,,,,,,,,,,,,,,,,,,
AK,Alaska,201912,Y,U,Y,3283,"Includes Renewals and/or Redeterminations",0,,3283,"Includes Renewals and/or Redeterminations",2925,"Includes Renewals and/or Redeterminations; Includes CHIP",175,,3100,"Includes Renewals and/or Redeterminations",97820,,223065,,206423,,16642,,,,,,,,,,,,,,,,,,,
AK,Alaska,202001,Y,P,N,4321,"Includes Renewals and/or Redeterminations",0,,4321,"Includes Renewals and/or Redeterminations",3232,"Includes Renewals and/or Redeterminations; Includes CHIP",125,,3357,"Includes Renewals and/or Redeterminations",97734,,222524,,205821,,16703,,,,,,,,,,,,,,,,,,,
AK,Alaska,202001,Y,U,Y,4321,"Includes Renewals and/or Redeterminations",0,,4321,"Includes Renewals and/or Redeterminations",3232,"Includes Renewals and/or Redeterminations; Includes CHIP",125,,3357,"Includes Renewals and/or Redeterminations",98096,,223963,,207251,,16712,,,,,,,,,,,,,,,,,,,
AK,Alaska,202002,Y,P,N,3811,"Includes Renewals and/or Redeterminations",0,,3811,"Includes Renewals and/or Redeterminations",3211,"Includes Renewals and/or Redeterminations; Includes CHIP",114,,3325,"Includes Renewals and/or Redeterminations",97066,,221584,,204910,,16674,,,,498,,649,,1395,,173,,975,,,,,,,
AK,Alaska,202002,Y,U,Y,3811,"Includes Renewals and/or Redeterminations",0,,3811,"Includes Renewals and/or Redeterminations",3211,"Includes Renewals and/or Redeterminations; Includes CHIP",114,,3325,"Includes Renewals and/or Redeterminations",97379,,222941,,206251,,16690,,,,498,,649,,1395,,173,,975,,,,,,,
AK,Alaska,202003,Y,P,N,3852,"Includes Renewals and/or Redeterminations",0,,3852,"Includes Renewals and/or Redeterminations",3309,"Includes Renewals and/or Redeterminations; Includes CHIP",137,,3446,"Includes Renewals and/or Redeterminations",97959,,223820,,206986,,16834,,,,401,,810,,1231,,570,,1358,,,,,,,
AK,Alaska,202003,Y,U,Y,3852,"Includes Renewals and/or Redeterminations",0,,3852,"Includes Renewals and/or Redeterminations",3309,"Includes Renewals and/or Redeterminations; Includes CHIP",137,,3446,"Includes Renewals and/or Redeterminations",98254,,224965,,208129,,16836,,,,401,,810,,1231,,570,,1358,,,,,,,
AK,Alaska,202004,Y,P,N,3041,"Includes Renewals and/or Redeterminations",0,,3041,"Includes Renewals and/or Redeterminations",3439,"Includes Renewals and/or Redeterminations; Includes CHIP",184,,3623,"Includes Renewals and/or Redeterminations",98473,,226559,,210484,,16075,,,,297,,2100,,738,,486,,2049,,,,,,,
AK,Alaska,202004,Y,U,Y,3041,"Includes Renewals and/or Redeterminations",0,,3041,"Includes Renewals and/or Redeterminations",3439,"Includes Renewals and/or Redeterminations; Includes CHIP",184,,3623,"Includes Renewals and/or Redeterminations",99035,,228270,,212183,,16087,,,,297,,2100,,738,,486,,2049,,,,,,,
AK,Alaska,202005,Y,P,N,2497,,0,,2497,,3407,,213,,3620,,98912,,230043,,214692,,15351,,,,,,,,,,,,,,,,,,,
AK,Alaska,202005,Y,U,Y,2497,"Includes Renewals and/or Redeterminations",0,,2497,"Includes Renewals and/or Redeterminations",3407,"Includes Renewals and/or Redeterminations; Includes CHIP",213,,3620,"Includes Renewals and/or Redeterminations",98912,,230043,,214692,,15351,,,,,,,,,,,,,,,,,,,
AK,Alaska,202006,Y,P,N,2844,"Includes Renewals and/or Redeterminations",0,,2844,"Includes Renewals and/or Redeterminations",3238,"Includes Renewals and/or Redeterminations; Includes CHIP",231,,3469,"Includes Renewals and/or Redeterminations",98484,,231145,,216568,,14577,,,,,,,,,,,,,,,,,,,
AK,Alaska,202006,Y,U,Y,2844,"Includes Renewals and/or Redeterminations",0,,2844,"Includes Renewals and/or Redeterminations",3238,"Includes Renewals and/or Redeterminations; Includes CHIP",231,,3469,"Includes Renewals and/or Redeterminations",98792,,232069,,217484,,14585,,,,,,,,,,,,,,,,,,,
AK,Alaska,202007,Y,P,N,2402,"Includes Renewals and/or Redeterminations",0,,2402,"Includes Renewals and/or Redeterminations",2081,"Includes Renewals and/or Redeterminations; Includes CHIP",127,,2208,"Includes Renewals and/or Redeterminations",98287,,232578,,218487,,14091,,,,,,,,,,,,,,,,,,,
AK,Alaska,202007,Y,U,Y,2402,"Includes Renewals and/or Redeterminations",0,,2402,"Includes Renewals and/or Redeterminations",2081,"Includes Renewals and/or Redeterminations; Includes CHIP",127,,2208,"Includes Renewals and/or Redeterminations",98580,,233334,,219239,,14095,,,,,,,,,,,,,,,,,,,
AK,Alaska,202008,Y,P,N,2737,"Includes Renewals and/or Redeterminations",0,,2737,"Includes Renewals and/or Redeterminations",1950,"Includes Renewals and/or Redeterminations; Includes CHIP",93,,2043,"Includes Renewals and/or Redeterminations",98556,,234622,,220778,,13844,,,,,,,,,,,,,,,,,,,
AK,Alaska,202008,Y,U,Y,2737,"Includes Renewals and/or Redeterminations",0,,2737,"Includes Renewals and/or Redeterminations",1950,"Includes Renewals and/or Redeterminations; Includes CHIP",93,,2043,"Includes Renewals and/or Redeterminations",98804,,235261,,221414,,13847,,,,,,,,,,,,,,,,,,,
AK,Alaska,202009,Y,P,N,2657,"Includes Renewals and/or Redeterminations",0,,2657,"Includes Renewals and/or Redeterminations",1944,"Includes Renewals and/or Redeterminations; Includes CHIP",95,,2039,"Includes Renewals and/or Redeterminations",98788,,235600,,221926,,13674,,,,,,,,,,,,,,,,,,,
AK,Alaska,202009,Y,U,Y,2657,"Includes Renewals and/or Redeterminations",0,,2657,"Includes Renewals and/or Redeterminations",1944,"Includes Renewals and/or Redeterminations; Includes CHIP",95,,2039,"Includes Renewals and/or Redeterminations",99035,,236362,,222686,,13676,,,,,,,,,,,,,,,,,,,
AK,Alaska,202010,Y,P,N,2849,"Includes Renewals and/or Redeterminations",0,,2849,"Includes Renewals and/or Redeterminations",2001,"Includes Renewals and/or Redeterminations; Includes CHIP",79,,2080,"Includes Renewals and/or Redeterminations",99143,,236719,,223272,,13447,,,,,,,,,,,,,,,,,,,
AK,Alaska,202010,Y,U,Y,2849,"Includes Renewals and/or Redeterminations",0,,2849,"Includes Renewals and/or Redeterminations",2001,"Includes Renewals and/or Redeterminations; Includes CHIP",79,,2080,"Includes Renewals and/or Redeterminations",99443,,237786,,224338,,13448,,,,,,,,,,,,,,,,,,,
AK,Alaska,202011,Y,P,N,3756,"Includes Renewals and/or Redeterminations",0,,3756,"Includes Renewals and/or Redeterminations",1976,"Includes Renewals and/or Redeterminations; Includes CHIP",120,,2096,"Includes Renewals and/or Redeterminations",99352,,237622,,224273,,13349,,,,,,,,,,,,,,,,,,,
AK,Alaska,202011,Y,U,Y,3756,"Includes Renewals and/or Redeterminations",0,,3756,"Includes Renewals and/or Redeterminations",1976,"Includes Renewals and/or Redeterminations; Includes CHIP",120,,2096,"Includes Renewals and/or Redeterminations",99655,,238873,,225513,,13360,,,,,,,,,,,,,,,,,,,
