State,Reporting period,Release date,Metric name ,Value ,Data notes
AK,202403,202406,Total beneficiaries whose coverage was terminated for a procedural or administrative reason (Metric 5c),690,R4
AK,202403,202406,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),6050,
AK,202403,202406,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),0.4711,
AK,202403,202406,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month (Metric 5a1 / 5),0.3449,R8
AK,202403,202406,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5a2 / 5),0.1262,
AK,202403,202406,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),0.1561,R4
AK,202403,202406,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),0.1136,
AK,202403,202406,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month (Metric 5c / 5),0.0425,R4
AK,202403,202406,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month (Metric 5d / 5),0.3728,
AK,202403,202410,Total call center volume (number of calls),25370,C5
AK,202403,202410,Average call center wait time (minutes),18,"C2, C5, C9"
CA,202303,202410,Average call center abandonment rate,0.018,"C3, C4, C6"
AK,202402,202405,Total number of Medicaid and CHIP beneficiaries for whom a renewal was initiated in the reporting month (Metric 4),16101,
AK,202402,202405,Total number of beneficiaries due for renewal in the reporting month (Metric 5),15385,
AK,202402,202405,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed (Metric 5a),6978,
AK,202402,202405,Total beneficiaries renewed on an ex parte basis (i.e. based on available information) (Metric 5a1),4572,R8
AK,202402,202405,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),2406,
AK,202402,202405,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),2428,R4
AK,202402,202405,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form (Metric 5b),1682,
AK,202402,202405,Total beneficiaries whose coverage was terminated for a procedural or administrative reason (Metric 5c),746,R4
AK,202402,202405,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),5979,
AK,202402,202405,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),0.4536,
AK,202402,202405,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month (Metric 5a1 / 5),0.2972,R8
AK,202402,202405,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5a2 / 5),0.1564,
AK,202402,202405,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),0.1578,R4
AK,202402,202405,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),0.1093,
AK,202402,202405,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month (Metric 5c / 5),0.0485,R4
AK,202402,202405,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month (Metric 5d / 5),0.3886,
AK,202402,202410,Total call center volume (number of calls),30415,C5
AK,202402,202410,Average call center wait time (minutes),40,"C2, C5, C9"
CO,202303,202410,Average call center abandonment rate,0.011,"C3, C4, C6"
AK,202401,202404,Total number of Medicaid and CHIP beneficiaries for whom a renewal was initiated in the reporting month (Metric 4),15227,
AK,202401,202404,Total number of beneficiaries due for renewal in the reporting month (Metric 5),15619,
AK,202401,202404,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed (Metric 5a),6608,
AK,202401,202404,Total beneficiaries renewed on an ex parte basis (i.e. based on available information) (Metric 5a1),4376,R8
AK,202401,202404,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),2232,
AK,202401,202404,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),2651,R4
AK,202401,202404,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form (Metric 5b),1747,
AK,202401,202404,Total beneficiaries whose coverage was terminated for a procedural or administrative reason (Metric 5c),904,R4
AK,202401,202404,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),6360,
AK,202401,202404,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),0.4231,
AK,202401,202404,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month (Metric 5a1 / 5),0.2802,R8
AK,202401,202404,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5a2 / 5),0.1429,
AK,202401,202404,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),0.1697,R4
AK,202401,202404,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),0.1119,
AK,202401,202404,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month (Metric 5c / 5),0.0579,R4
AK,202401,202404,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month (Metric 5d / 5),0.4072,
AK,202401,202410,Total call center volume (number of calls),42202,C5
AK,202401,202410,Average call center wait time (minutes),46,"C2, C5, C9"
CT,202303,202410,Average call center abandonment rate,0.061,"C4, C6, C7"
AK,202312,202403,Total number of Medicaid and CHIP beneficiaries for whom a renewal was initiated in the reporting month (Metric 4),16448,
AK,202312,202403,Total number of beneficiaries due for renewal in the reporting month (Metric 5),12729,
AK,202312,202403,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed (Metric 5a),4710,
AK,202312,202403,Total beneficiaries renewed on an ex parte basis (i.e. based on available information) (Metric 5a1),3288,R8
AK,202312,202403,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),1422,
AK,202312,202403,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),2271,R4
AK,202312,202403,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form (Metric 5b),1501,
AK,202312,202403,Total beneficiaries whose coverage was terminated for a procedural or administrative reason (Metric 5c),770,R4
AK,202312,202403,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),5748,
AK,202312,202403,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),0.37,
AK,202312,202403,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month (Metric 5a1 / 5),0.2583,R8
AK,202312,202403,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5a2 / 5),0.1117,
AK,202312,202403,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),0.1784,R4
AK,202312,202403,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),0.1179,
AK,202312,202403,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month (Metric 5c / 5),0.0605,R4
AK,202312,202403,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month (Metric 5d / 5),0.4516,
AK,202312,202410,Total call center volume (number of calls),36070,C5
AK,202312,202410,Average call center wait time (minutes),20,"C2, C5, C9"
DC,202303,202410,Average call center abandonment rate,0.03,"C3, C5, C6"
AK,202311,202402,Total number of Medicaid and CHIP beneficiaries for whom a renewal was initiated in the reporting month (Metric 4),15328,
AK,202311,202402,Total number of beneficiaries due for renewal in the reporting month (Metric 5),10781,
AK,202311,202402,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed (Metric 5a),3971,
AK,202311,202402,Total beneficiaries renewed on an ex parte basis (i.e. based on available information) (Metric 5a1),2956,R8
AK,202311,202402,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),1015,
AK,202311,202402,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),1847,R4
AK,202311,202402,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form (Metric 5b),1122,
AK,202311,202402,Total beneficiaries whose coverage was terminated for a procedural or administrative reason (Metric 5c),725,R4
AK,202311,202402,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),4963,
AK,202311,202402,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),0.3683,
AK,202311,202402,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month (Metric 5a1 / 5),0.2742,R8
AK,202311,202402,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5a2 / 5),0.0941,
AK,202311,202402,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),0.1713,R4
AK,202311,202402,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),0.1041,
AK,202311,202402,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month (Metric 5c / 5),0.0672,R4
AK,202311,202402,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month (Metric 5d / 5),0.4603,
AK,202311,202410,Total call center volume (number of calls),35938,C5
AK,202311,202410,Average call center wait time (minutes),17,"C2, C5, C9"
DE,202303,202410,Average call center abandonment rate,0.134,"C5, C6"
AK,202310,202401,Total number of Medicaid and CHIP beneficiaries for whom a renewal was initiated in the reporting month (Metric 4),14177,
AK,202310,202401,Total number of beneficiaries due for renewal in the reporting month (Metric 5),11813,
AK,202310,202401,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed (Metric 5a),4272,
AK,202310,202401,Total beneficiaries renewed on an ex parte basis (i.e. based on available information) (Metric 5a1),3232,R8
AK,202310,202401,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),1040,
AK,202310,202401,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),1984,R4
AK,202310,202401,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form (Metric 5b),1256,
AK,202310,202401,Total beneficiaries whose coverage was terminated for a procedural or administrative reason (Metric 5c),728,R4
AK,202310,202401,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),5557,
AK,202310,202401,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),0.3616,
AK,202310,202401,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month (Metric 5a1 / 5),0.2736,R8
AK,202310,202401,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5a2 / 5),0.088,
AK,202310,202401,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),0.168,R4
AK,202310,202401,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),0.1063,
AK,202310,202401,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month (Metric 5c / 5),0.0616,R4
AK,202310,202401,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month (Metric 5d / 5),0.4704,
AK,202310,202410,Total call center volume (number of calls),33374,C5
AK,202310,202410,Average call center wait time (minutes),16,"C2, C5, C9"
FL,202303,202410,Average call center abandonment rate,0.388,"C5, C6"
AK,202309,202312,Total number of Medicaid and CHIP beneficiaries for whom a renewal was initiated in the reporting month (Metric 4),13484,
AK,202309,202312,Total number of beneficiaries due for renewal in the reporting month (Metric 5),12884,
AK,202309,202312,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed (Metric 5a),4111,
AK,202309,202312,Total beneficiaries renewed on an ex parte basis (i.e. based on available information) (Metric 5a1),3055,R8
AK,202309,202312,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),1056,
AK,202309,202312,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),2171,R4
AK,202309,202312,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form (Metric 5b),1469,
AK,202309,202312,Total beneficiaries whose coverage was terminated for a procedural or administrative reason (Metric 5c),702,R4
AK,202309,202312,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),6602,
AK,202309,202312,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),0.3191,
AK,202309,202312,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month (Metric 5a1 / 5),0.2371,R8
AK,202309,202312,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5a2 / 5),0.082,
AK,202309,202312,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),0.1685,R4
AK,202309,202312,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),0.114,
AK,202309,202312,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month (Metric 5c / 5),0.0545,R4
AK,202309,202312,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month (Metric 5d / 5),0.5124,
AK,202309,202410,Total call center volume (number of calls),34517,C5
AK,202309,202410,Average call center wait time (minutes),13,"C2, C5, C9"
GA,202303,202410,Average call center abandonment rate,0.007,"C1, C5, C6"
AK,202308,202311,Total number of Medicaid and CHIP beneficiaries for whom a renewal was initiated in the reporting month (Metric 4),16076,
AK,202308,202311,Total number of beneficiaries due for renewal in the reporting month (Metric 5),19995,
AK,202308,202311,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed (Metric 5a),6516,
AK,202308,202311,Total beneficiaries renewed on an ex parte basis (i.e. based on available information) (Metric 5a1),5634,R8
AK,202308,202311,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),882,
AK,202308,202311,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),9919,
AK,202308,202311,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form (Metric 5b),1859,
AK,202308,202311,Total beneficiaries whose coverage was terminated for a procedural or administrative reason (Metric 5c),8060,
AK,202308,202311,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),3560,
AK,202308,202311,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),0.3259,
AK,202308,202311,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month (Metric 5a1 / 5),0.2818,R8
AK,202308,202311,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5a2 / 5),0.0441,
AK,202308,202311,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),0.4961,
AK,202308,202311,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),0.093,
AK,202308,202311,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month (Metric 5c / 5),0.4031,
AK,202308,202311,Percent of beneficiaries whose renewal was pending at the end of the month as a share of total beneficiaries due for renewal in the reporting month (Metric 5d / 5),0.178,
AK,202308,202410,Total call center volume (number of calls),39407,C5
AK,202308,202410,Average call center wait time (minutes),16,"C2, C5, C9"
HI,202303,202410,Average call center abandonment rate,0.09,C4
AK,202307,202310,Total number of Medicaid and CHIP beneficiaries for whom a renewal was initiated in the reporting month (Metric 4),26003,
AK,202307,202310,Total number of beneficiaries due for renewal in the reporting month (Metric 5),14250,
AK,202307,202310,Total number of beneficiaries due for renewal in the reporting month whose coverage was renewed (Metric 5a),4893,
AK,202307,202310,Total beneficiaries renewed on an ex parte basis (i.e. based on available information) (Metric 5a1),4011,R8
AK,202307,202310,Total beneficiaries renewed based on the return of a renewal form (Metric 5a2),882,
AK,202307,202310,Total number of beneficiaries due for renewal in the reporting month whose coverage was terminated (Metric 5b + 5c),7207,
AK,202307,202310,Total beneficiaries determined ineligible for Medicaid and CHIP based on the return of a renewal form (Metric 5b),1577,
AK,202307,202310,Total beneficiaries whose coverage was terminated for a procedural or administrative reason (Metric 5c),5630,
AK,202307,202310,Total number of beneficiaries due for renewal in the reporting month whose renewal was pending at the end of the month (Metric 5d),2150,
AK,202307,202310,Percent of beneficiaries whose coverage was renewed as a share of total beneficiaries due for renewal in the reporting month (Metric 5a / 5),0.3434,
AK,202307,202310,Percent of beneficiaries renewed on an ex parte basis (i.e. based on available information) as a share of total beneficiaries due for renewal in the reporting month (Metric 5a1 / 5),0.2815,R8
AK,202307,202310,Percent of beneficiaries renewed based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5a2 / 5),0.0619,
AK,202307,202310,Percent of beneficiaries terminated from Medicaid and CHIP as a share of total beneficiaries due for renewal in the reporting month ((Metric 5b + 5c) / 5),0.5058,
AK,202307,202310,Percent of beneficiaries determined ineligible based on the return of a renewal form as a share of total beneficiaries due for renewal in the reporting month (Metric 5b / 5),0.1107,
AK,202307,202310,Percent of beneficiaries whose coverage was terminated for a procedural or administrative reason as a share of total beneficiaries due for renewal in the reporting month (Metric 5c / 5),0.3951,
